Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell cycle phase]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell cycle phase]	Factor Value[single cell identifier]
S73	ERS1979261	SAMEA104354283	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S73	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	537	616	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S73	sequencing assay	ERX2233607	2015_02_12_10A_plate_4_S73_L000_R1_001.fastq.gz	2015_02_12_10A_plate_4_S73_L000_R1_001.fastq.gz	ERR2177244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2177244/ERR2177244_1.fastq.gz	300	151	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S73
S73	ERS1979261	SAMEA104354283	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S73	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	537	616	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S73	sequencing assay	ERX2233607	2015_02_12_10A_plate_4_S73_L000_R2_001.fastq.gz	2015_02_12_10A_plate_4_S73_L000_R2_001.fastq.gz	ERR2177244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2177244/ERR2177244_2.fastq.gz	74	38	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S73
S1	ERS1979262	SAMEA104354284	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S1	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	520	585	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S1	sequencing assay	ERX2233608	2015_02_12_1C_plate_3_S1_L000_R1_001.fastq.gz	2015_02_12_1C_plate_3_S1_L000_R1_001.fastq.gz	ERR2177245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2177245/ERR2177245_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S1
S1	ERS1979262	SAMEA104354284	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S1	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	520	585	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S1	sequencing assay	ERX2233608	2015_02_12_1C_plate_3_S1_L000_R2_001.fastq.gz	2015_02_12_1C_plate_3_S1_L000_R2_001.fastq.gz	ERR2177245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2177245/ERR2177245_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S1
S9	ERS1979263	SAMEA104354285	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S9	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	567	650	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S9	sequencing assay	ERX2233609	2015_02_12_2C_plate_3_S9_L000_R1_001.fastq.gz	2015_02_12_2C_plate_3_S9_L000_R1_001.fastq.gz	ERR2177246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2177246/ERR2177246_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S9
S9	ERS1979263	SAMEA104354285	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S9	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	567	650	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S9	sequencing assay	ERX2233609	2015_02_12_2C_plate_3_S9_L000_R2_001.fastq.gz	2015_02_12_2C_plate_3_S9_L000_R2_001.fastq.gz	ERR2177246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2177246/ERR2177246_2.fastq.gz	76	39	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S9
S17	ERS1979264	SAMEA104354286	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S17	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	410	457	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S17	sequencing assay	ERX2233610	2015_02_12_3A_plate_4_S17_L000_R1_001.fastq.gz	2015_02_12_3A_plate_4_S17_L000_R1_001.fastq.gz	ERR2177247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2177247/ERR2177247_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S17
S17	ERS1979264	SAMEA104354286	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G1	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S17	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	410	457	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S17	sequencing assay	ERX2233610	2015_02_12_3A_plate_4_S17_L000_R2_001.fastq.gz	2015_02_12_3A_plate_4_S17_L000_R2_001.fastq.gz	ERR2177247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2177247/ERR2177247_2.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G1	S17
S57	ERS1979265	SAMEA104354287	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S57	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	527	590	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S57	sequencing assay	ERX2233611	2015_02_12_5D_plate_3_S57_L000_R1_001.fastq.gz	2015_02_12_5D_plate_3_S57_L000_R1_001.fastq.gz	ERR2177248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2177248/ERR2177248_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S57
S57	ERS1979265	SAMEA104354287	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S57	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	527	590	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S57	sequencing assay	ERX2233611	2015_02_12_5D_plate_3_S57_L000_R2_001.fastq.gz	2015_02_12_5D_plate_3_S57_L000_R2_001.fastq.gz	ERR2177248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2177248/ERR2177248_2.fastq.gz	92	47	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S57
